Country,Nkill,Attack_count,Propvalue
Iraq,78589,24636,15988757
Afghanistan,39384,12731,2818362.04
Pakistan,23822,14368,1978822.9
Nigeria,22682,3907,749233.64
India,19341,11960,56592778.98
Sri Lanka,15530,3022,395733205
Syria,15229,2201,387651
Colombia,14698,8306,392287375.5
Peru,12771,6096,812798484
El Salvador,12053,5320,137829989.1
Algeria,11066,2743,3446847
Nicaragua,10598,1970,68551322
Somalia,10273,4142,549119
Philippines,9559,6908,33309938.29
Yemen,8776,3347,164397.47
Turkey,6888,4292,108957095.2
Guatemala,5167,2050,28156221
Russia,4308,2194,104507
Lebanon,4061,2478,67365895
Sudan,3883,967,153262.78
Egypt,3869,2479,2001493
United States,3771,2836,986226307.1
United Kingdom,3410,5235,4101863492
Rwanda,3236,159,119604
Uganda,3065,394,111221
Angola,3043,499,22843000
Thailand,2742,3849,13490421.14
Mozambique,2711,363,5773367
South Africa,2674,2016,20435515
Libya,2598,2249,29218352.67
Ukraine,2261,1709,414857
Nepal,1969,1215,847604
Kenya,1948,683,468704.93
Ethiopia,1765,190,3221931
Israel,1703,2183,5548606
Iran,1673,684,7491666
West Bank and Gaza Strip,1500,2227,3887903
Niger,1474,154,65842
Spain,1288,3249,134101753
